date,headline,source,sentiment,sentiment_score,link
2024-09-05,Ørsted misses in green energy market,The Information,negative,-0.802,https://example.com/green-energy/ørsted/71737
2024-08-23,Tesla Energy expands in green energy market,Bloomberg,positive,0.727,https://example.com/green-energy/tesla-energy/80534
2024-08-18,Tesla Energy tops in green energy market,Ars Technica,positive,0.414,https://example.com/green-energy/tesla-energy/42182
2024-08-18,Siemens Energy expands in green energy market,The Information,positive,0.931,https://example.com/green-energy/siemens-energy/42480
2024-08-17,Ørsted mentions in green energy market,Ars Technica,neutral,-0.035,https://example.com/green-energy/ørsted/98105
2024-08-15,Tesla Energy updates in green energy market,Reuters,neutral,-0.034,https://example.com/green-energy/tesla-energy/7070
2024-08-13,Siemens Energy reports in green energy market,The Verge,neutral,-0.153,https://example.com/green-energy/siemens-energy/19023
2024-08-10,Tesla Energy recalls in green energy market,Financial Times,negative,-0.363,https://example.com/green-energy/tesla-energy/92137
2024-08-09,Ørsted states in green energy market,TechCrunch,neutral,-0.138,https://example.com/green-energy/ørsted/94719
2024-08-03,Siemens Energy states in green energy market,Financial Times,neutral,-0.064,https://example.com/green-energy/siemens-energy/90847
2024-08-03,Enphase Energy launches in green energy market,Financial Times,neutral,0.196,https://example.com/green-energy/enphase-energy/30239
2024-08-02,Tesla Energy reports in green energy market,Wired,neutral,0.180,https://example.com/green-energy/tesla-energy/66854
2024-08-02,Siemens Energy downgrades in green energy market,CNBC,negative,-0.883,https://example.com/green-energy/siemens-energy/48176
2024-07-18,Tesla Energy announces in green energy market,Reuters,positive,0.677,https://example.com/green-energy/tesla-energy/21870
2024-07-18,Siemens Energy launches in green energy market,Engadget,neutral,0.183,https://example.com/green-energy/siemens-energy/91153
2024-07-12,Tesla Energy beats in green energy market,Forbes,positive,0.414,https://example.com/green-energy/tesla-energy/32816
2024-07-11,Tesla Energy wins in green energy market,Wired,positive,0.980,https://example.com/green-energy/tesla-energy/85330
2024-06-30,Enphase Energy announces in green energy market,Wired,positive,0.361,https://example.com/green-energy/enphase-energy/58541
2024-06-21,Tesla Energy reveals in green energy market,Wired,neutral,0.032,https://example.com/green-energy/tesla-energy/46118
2024-06-21,Enphase Energy notes in green energy market,TechCrunch,neutral,-0.067,https://example.com/green-energy/enphase-energy/45714
2024-06-14,Tesla Energy files in green energy market,Ars Technica,neutral,-0.144,https://example.com/green-energy/tesla-energy/33041
2024-06-14,Ørsted tops in green energy market,CNBC,positive,0.577,https://example.com/green-energy/ørsted/67115
2024-06-08,Siemens Energy partners with in green energy market,Bloomberg,positive,0.926,https://example.com/green-energy/siemens-energy/94071
2024-05-31,First Solar updates in green energy market,Bloomberg,neutral,0.109,https://example.com/green-energy/first-solar/36305
2024-05-24,Tesla Energy recalls in green energy market,The Verge,negative,-0.305,https://example.com/green-energy/tesla-energy/92137
2024-05-22,Enphase Energy outperforms in green energy market,Wired,positive,0.456,https://example.com/green-energy/enphase-energy/76923
2024-05-10,Tesla Energy reveals in green energy market,Financial Times,neutral,0.033,https://example.com/green-energy/tesla-energy/46118
2024-05-08,Enphase Energy mentions in green energy market,The Verge,neutral,0.051,https://example.com/green-energy/enphase-energy/22143
2024-05-07,Siemens Energy suffers in green energy market,Bloomberg,negative,-0.836,https://example.com/green-energy/siemens-energy/80656
2024-04-30,First Solar notes in green energy market,Protocol,neutral,-0.122,https://example.com/green-energy/first-solar/12802
2024-04-28,Ørsted files in green energy market,Bloomberg,neutral,0.009,https://example.com/green-energy/ørsted/74137
2024-04-24,Siemens Energy states in green energy market,Engadget,neutral,0.052,https://example.com/green-energy/siemens-energy/90847
2024-04-24,Enphase Energy misses in green energy market,Engadget,negative,-0.883,https://example.com/green-energy/enphase-energy/12786
